No,AT_Awal,SET_Pesan,SET_Kasir,AT_Konfirmasi,SET_Total
1,12:04:29,12:07:16,12:11:11,12:12:06,12:28:03
2,12:11:18,12:15:17,12:19:57,12:20:40,12:31:00
3,12:17:13,12:20:09,12:23:34,12:24:12,12:39:48
4,12:22:37,12:26:11,12:28:32,12:29:22,12:40:38
5,12:26:14,12:29:53,12:34:01,12:35:28,12:51:19
6,12:29:52,12:32:25,12:36:42,12:37:31,12:51:02
7,12:33:06,12:38:00,12:41:41,12:42:42,12:55:33
8,12:39:34,12:43:53,12:48:12,12:49:24,13:00:45
9,12:44:58,12:49:47,12:53:16,12:54:08,13:07:03
10,12:50:48,12:55:29,12:59:03,13:00:31,13:16:11
11,12:53:53,12:57:40,13:00:57,13:02:25,13:19:33
12,13:00:46,13:05:31,13:07:36,13:08:21,13:23:56
13,13:11:05,13:13:21,13:15:41,13:16:41,13:34:46
14,13:18:56,13:21:32,13:23:37,13:24:25,13:44:25
15,13:26:40,13:28:48,13:32:43,13:33:30,13:46:31
16,13:34:24,13:37:23,13:40:19,13:40:51,13:54:14
17,13:42:37,13:45:47,13:49:18,13:50:25,14:00:06
18,13:51:43,13:54:32,13:59:15,14:00:15,14:17:50
19,14:00:27,14:04:56,14:07:41,14:08:14,14:26:08
20,14:08:36,14:11:41,14:14:55,14:15:41,14:27:05
21,14:18:03,14:20:54,14:25:10,14:26:34,14:42:26
22,14:25:37,14:29:14,14:31:56,14:32:40,14:50:19
23,14:33:47,14:36:12,14:38:26,14:39:05,14:53:46
24,14:42:15,14:46:39,14:49:31,14:50:31,15:07:03
25,14:51:04,14:53:18,14:55:47,14:57:16,15:11:47
26,15:01:13,15:06:10,15:10:58,15:11:42,15:22:03
27,15:05:49,15:10:08,15:14:33,15:15:43,15:32:52
28,15:11:21,15:13:57,15:17:51,15:19:07,15:37:05
29,15:17:08,15:19:09,15:23:46,15:24:30,15:40:42
30,15:21:16,15:25:43,15:30:08,15:31:21,15:42:30
31,15:27:06,15:31:13,15:33:46,15:34:38,15:46:23
32,15:31:36,15:35:48,15:40:28,15:41:36,15:52:13
33,15:35:48,15:40:07,15:43:44,15:44:52,16:01:11
34,15:42:39,15:44:52,15:49:17,15:50:20,16:08:08
35,15:49:33,15:52:37,15:57:18,15:57:54,16:13:10
36,15:55:58,15:58:19,16:01:16,16:02:36,16:19:26
37,16:00:53,16:05:28,16:07:48,16:08:37,16:20:01
38,16:08:40,16:12:32,16:15:13,16:15:54,16:45:54
39,16:21:08,16:24:08,16:27:25,16:27:57,16:37:51
40,16:31:40,16:33:51,16:38:18,16:39:24,16:51:05
41,16:39:38,16:42:34,16:47:09,16:48:20,17:04:58
42,16:50:36,16:53:34,16:55:36,16:56:07,17:09:23
43,16:57:52,17:02:04,17:05:36,17:06:36,17:24:14
